date, open, high, low, close, vol
20160519 044100,1.121900,1.121980,1.121790,1.121820,0
20160519 044200,1.121830,1.121990,1.121810,1.121990,0
20160519 044300,1.122000,1.122120,1.121820,1.121820,0
20160519 044400,1.121810,1.122000,1.121810,1.121900,0
20160519 044500,1.121890,1.121950,1.121860,1.121910,0
20160519 044600,1.121930,1.122210,1.121930,1.122170,0
20160519 044700,1.122190,1.122390,1.122190,1.122240,0
20160519 044800,1.122240,1.122290,1.122130,1.122160,0
20160519 044900,1.122170,1.122180,1.122060,1.122080,0
20160519 045000,1.122070,1.122120,1.121990,1.122120,0
20160519 045100,1.122140,1.122260,1.122140,1.122140,0
20160519 045200,1.122140,1.122440,1.122140,1.122440,0
20160519 045300,1.122450,1.122460,1.122350,1.122390,0
20160519 045400,1.122390,1.122550,1.122390,1.122390,0
20160519 045500,1.122380,1.122540,1.122370,1.122470,0
20160519 045600,1.122460,1.122530,1.122310,1.122390,0
20160519 045700,1.122350,1.122430,1.122260,1.122430,0
20160519 045800,1.122450,1.122540,1.122420,1.122510,0
20160519 045900,1.122510,1.122530,1.122380,1.122520,0
20160519 050000,1.122520,1.122550,1.122390,1.122390,0
20160519 050100,1.122380,1.122390,1.122160,1.122170,0
20160519 050200,1.122200,1.122240,1.122150,1.122220,0
20160519 050300,1.122220,1.122230,1.122090,1.122150,0
20160519 050400,1.122140,1.122170,1.122090,1.122150,0
20160519 050500,1.122160,1.122350,1.122150,1.122250,0
20160519 050600,1.122240,1.122340,1.122190,1.122200,0
20160519 050700,1.122200,1.122240,1.122130,1.122190,0
20160519 050800,1.122200,1.122240,1.122090,1.122230,0
20160519 050900,1.122220,1.122420,1.122150,1.122400,0
20160519 051000,1.122400,1.122490,1.122400,1.122430,0
20160519 051100,1.122440,1.122440,1.122240,1.122300,0
