Symbol,Date,Open,High,Low,Close,Volume
ORCL,01-Jun-2016,40.06,40.3,39.82,40.26,9268700
ORCL,02-Jun-2016,38.7,39.05,38.07,38.66,51063400
ORCL,03-Jun-2016,38.74,39.21,38.69,39.1,20739900
ORCL,06-Jun-2016,39.19,39.64,39.12,39.44,16116900
ORCL,07-Jun-2016,39.55,39.74,39.05,39.13,20009500
ORCL,08-Jun-2016,39.16,39.34,38.9,39.28,11671000
ORCL,09-Jun-2016,39.19,39.21,38.75,39.05,12316100
ORCL,10-Jun-2016,38.78,38.99,38.61,38.74,10441700
ORCL,13-Jun-2016,38.5,38.89,38.38,38.62,13036200
ORCL,14-Jun-2016,38.63,38.98,38.57,38.83,12092200
ORCL,15-Jun-2016,38.8,38.92,38.41,38.44,14476000
ORCL,16-Jun-2016,38.36,38.8,38.08,38.64,17916400
ORCL,17-Jun-2016,39.49,39.96,38.92,39.68,34512300
ORCL,20-Jun-2016,39.9,40.35,39.7,39.73,17149100
ORCL,21-Jun-2016,39.93,40.12,39.75,39.99,20111100
ORCL,22-Jun-2016,40.15,40.34,39.87,40.01,12643300
ORCL,23-Jun-2016,40.4,40.87,40.26,40.83,15429900
ORCL,24-Jun-2016,39.38,39.89,39.02,39.23,44221300
ORCL,27-Jun-2016,38.87,38.88,38.18,38.48,22532900
ORCL,28-Jun-2016,38.72,39.19,38.58,39.13,14750800
ORCL,29-Jun-2016,39.76,40.7,39.49,40.55,23009700
ORCL,30-Jun-2016,40.48,41.16,40.47,40.93,20100900
ORCL,01-Jul-2016,40.7,41.05,40.69,40.86,11381600
ORCL,04-Jul-2016,40.86,40.86,40.86,40.86,0
ORCL,05-Jul-2016,40.33,40.58,40.15,40.4,12501300
ORCL,06-Jul-2016,40.2,40.57,40.02,40.53,12124200
ORCL,07-Jul-2016,40.65,40.83,40.42,40.53,11676700
ORCL,08-Jul-2016,40.88,41.18,40.74,40.87,14235500
ORCL,11-Jul-2016,40.9,41.14,40.75,40.78,12911900
ORCL,12-Jul-2016,41.23,41.58,41.05,41.42,13321000
ORCL,13-Jul-2016,41.56,41.65,41.25,41.46,9612600
ORCL,14-Jul-2016,41.57,41.87,41.5,41.67,9259800
ORCL,15-Jul-2016,41.91,41.91,41.46,41.77,11666300
ORCL,18-Jul-2016,41.71,41.84,41.58,41.64,8738900
ORCL,19-Jul-2016,41.3,41.45,41.01,41.08,12723000
ORCL,20-Jul-2016,41.48,41.5,41.25,41.25,11409600
ORCL,21-Jul-2016,41.34,41.51,40.94,41.07,11546300
ORCL,22-Jul-2016,41.12,41.21,40.95,41.08,10426300
